2021-06-05,Ticker,Company,Industry,Market Cap,,
,AGC,Altimeter Growth Corp.,Financial,744.43M,-,
,BBBY,Bed Bath & Beyond Inc.,Consumer Cyclical,3.65B,-,
,BLNK,Blink Charging Co.,Consumer Cyclical,1.72B,-,
,CLOV,Clover Health Investments Corp.,Healthcare,4.83B,-,
,FUV,Arcimoto Inc.,Consumer Cyclical,522.82M,-,
,GEO,The GEO Group Inc.,Real Estate,765.51M,-,
,NKLA,Nikola Corporation,Consumer Cyclical,6.91B,-,
,OTRK,Ontrak Inc.,Healthcare,552.43M,-,
,REV,Revlon Inc.,Consumer Defensive,847.16M,-,
,RIDE,Lordstown Motors Corp.,Consumer Cyclical,2.49B,-,
,ROOT,Root Inc.,Financial,2.50B,-,
,SOFI,SoFi Technologies Inc. Common Stock,Financial,2.33B,-,
,TDUP,ThredUp Inc.,Consumer Cyclical,364.00M,-,
,TTCF,Tattooed Chef Inc.,Consumer Defensive,1.86B,-,
,WKHS,Workhorse Group Inc.,Consumer Cyclical,1.94B,-,
,WOOF,Petco Health and Wellness Company Inc.,Consumer Cyclical,5.29B, -,
Added To List,,,,,,
,SOFI,SoFi Technologies Inc. Common Stock,Financial,2.33B,Added,
,TDUP,ThredUp Inc.,Consumer Cyclical,364.00M,Added,
Dropped From List,,,,,,
,IPOE,Social Capital Hedosophia Holdings Corp. V,Financial,1.99B,Dropped,
,POSH,Poshmark Inc.,Consumer Cyclical,3.48B,Dropped,
