2021-06-26,Ticker,Company,Industry,Market Cap,
,AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA,734.38M,-,11.75,0.00%,221,354,-
,BEEM,Beam Global,Technology,Solar,USA,336.03M,-,37.97,0.37%,1,325,785,-
,BLNK,Blink Charging Co.,Consumer Cyclical,Specialty Retail,USA,1.74B,-,42.27,1.86%,7,412,260,-
,CLOV,Clover Health Investments Corp.,Healthcare,Healthcare Plans,USA,5.63B,-,12.97,-5.95%,50,810,168,-
,DFH,Dream Finders Homes Inc.,Consumer Cyclical,Residential Construction,USA,2.17B,-,22.98,-2.09%,200,092,-
,DMTK,DermTech Inc.,Healthcare,Diagnostics & Research,USA,1.30B,-,45.99,2.20%,2,496,761,Added
,FIZZ,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,USA,4.40B,25.98,47.38,0.49%,379,385,-
,FUV,Arcimoto Inc.,Consumer Cyclical,Recreational Vehicles,USA,538.58M,-,15.62,3.79%,6,828,295,-
,LTCH,Latch Inc.,Technology,Software - Application,USA,1.85B,-,12.32,-6.03%,815,165,Added
,OTRK,Ontrak Inc.,Healthcare,Medical Care Facilities,USA,617.05M,-,33.30,-4.28%,252,012,-
,PUBM,PubMatic Inc.,Technology,Software - Application,USA,308.44M,42.72,42.46,4.89%,1,619,070,-
,SOFI,SoFi Technologies Inc.,Financial,Credit Services,USA,18.06B,-,18.50,-11.36%,36,679,200,Added
,TTCF,Tattooed Chef Inc.,Consumer Defensive,Packaged Foods,USA,1.65B,32.05,20.00,-0.79%,7,130,862,-
,WKHS,Workhorse Group Inc.,Consumer Cyclical,Auto Manufacturers,USA,1.91B,-,15.61,0.77%,13,733,801,-
Added To List,,,,,
,DMTK,DermTech Inc.,Healthcare,Diagnostics & Research,USA,1.30B,-,45.99,2.20%,2,496,761,Added
,LTCH,Latch Inc.,Technology,Software - Application,USA,1.85B,-,12.32,-6.03%,815,165,Added
,SOFI,SoFi Technologies Inc.,Financial,Credit Services,USA,18.06B,-,18.50,-11.36%,36,679,200,Added
Dropped From List,,,,,,
,AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,Medical Care Facilities,USA,2.33B,-,12.55,-0.87%,2,684,181,Dropped
,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,5.30B,-,53.11,-1.21%,3,152,270,Dropped
,GEO,The GEO Group Inc.,Real Estate,REIT - Healthcare Facilities,USA,881.18M,6.61,7.62,5.83%,9,677,140,Dropped
,NKLA,Nikola Corporation,Consumer Cyclical,Auto Manufacturers,USA,6.70B,-,16.51,-2.94%,8,264,604,Dropped
,PETS,PetMed Express Inc.,Healthcare,Pharmaceutical Retailers,USA,659.26M,21.29,32.38,-0.43%,441,357,Dropped
,RIDE,Lordstown Motors Corp.,Consumer Cyclical,Auto Manufacturers,USA,1.82B,-,10.65,3.30%,9,169,212,Dropped
,ROOT,Root Inc.,Financial,Insurance - Property & Casualty,USA,2.78B,-,10.71,-2.46%,4,103,091,Dropped
,SDC,SmileDirectClub Inc.,Healthcare,Medical Devices,USA,3.53B,-,8.87,-2.53%,3,602,600,Dropped
,TDUP,ThredUp Inc.,Consumer Cyclical,Internet Retail,USA,417.72M,-,25.58,-7.99%,1,120,499,Dropped
,WOOF,Petco Health and Wellness Company Inc.,Consumer Cyclical,Specialty Retail,USA,5.23B,-,22.27,-3.51%,5,714,639,Dropped
